name,group,status,backupDate,size,notes,path
Production,Phenome Networks,ok,2026-08-15,13.8 GB,,s3://phn-p2g.prod-rds-backup/rds_weekly_backup/2026-08-15/
Sakata,Sakata,ok,2026-08-15,8.9 GB,,s3://phenome-sakata-weekly-backup/rds-weekly-backups/2026-08-15/
Sakata - Test,Sakata,ok,2026-08-15,7.5 GB,,s3://phenome-sakatatest-weekly-backup/rds_weekly_backup/2026-08-15/
Top Seeds,Top Seeds,ok,2026-08-15,1.9 GB,,s3://phenome-topseeds-mysql-backup/rds_weekly_backup/2026-08-15/
Kimberly Clark - EKS,Kimberly Clark,ok,2026-08-15,29.2 MB,,s3://phenome-kimberly-clark-mysql-backup/rds_weekly_backup/2026-08-15/
East West Seeds,East West Seeds,ok,2026-08-15,6.3 GB,,s3://ews-mysql-weekly-backups/weekly_backup/2026-08-15/
Danziger,Danziger,suspect,2026-07-25,1.4 GB,Latest backup is 22 day(s) old (max allowed: 7),s3://phenome-danziger-mysql-backup/weekly_backup/2026-07-25/
Starke Ayres,Starke Ayres,ok,2026-08-15,1003.7 MB,,s3://phenome-starkeayres-mysql/weekly_backups/2026-08-15/
Gautier,Gautier,ok,2026-08-15,851.4 MB,,s3://phenome-gautier-rds-backup/weekly_backups/2026-08-15/
Mahyco,Mahyco,ok,2026-08-15,2.0 GB,,s3://phenome-mahyco-mysql-backup/rds_weekly_backup/2026-08-15/
Planasa,Planasa,ok,2026-08-15,1.1 GB,,s3://phenome-planasnew-mysql-weekly/weekly_backup/2026-08-15/
Farm Hannong,Farm Hannong,ok,2026-08-15,74.8 MB,,s3://phenome-farm-hannong-mysql-backup/rds_weekly_backup/2026-08-15/
Kaiima,Kaiima,ok,2026-08-15,553.7 MB,,s3://phenome-kaiima-mysql-backup/rds_weekly_backup/2026-08-15/
Kraftheinz,Kraftheinz,ok,2026-08-15,196.7 MB,,s3://phenome-kraftheinz-mysql-weekly-backup/weekly_backups/2026-08-15/
Pepsico,Pepsico,ok,2026-08-15,83.6 MB,,s3://phenome-pepsico-mysql-backup/weekly_backup/2026-08-15/
Origene,Origene,ok,2026-08-15,1.0 GB,,s3://phenome-origene-mysql-backup/rds_weekly_backup/2026-08-15/
British American (BAT),BAT,na,,,Disabled,
East West Seeds Indonesia,East West Seeds,ok,2026-08-15,1.4 GB,,s3://ews-indonesia-mysql-daily-backups/rds_weekly_backup/2026-08-15/
Ramiro,Ramiro,ok,2026-08-15,1.1 GB,,s3://phenome-ramiro-mysql-weekly/weekly_backup/2026-08-15/
McCain,McCain,ok,2026-08-15,764.3 MB,,s3://phenome-mccain-mysql-weekly/rds_weekly_backup/2026-08-15/
Seedworks,Seedworks,ok,2026-08-15,1.3 GB,,s3://phenome-seedworks-mysql-backup/weekly_backups/2026-08-15/
Ball,Ball,ok,2026-08-15,1.4 GB,,s3://phenome-ball-mysql-backup/rds_weekly_backup/2026-08-15/
Axia Seeds (VoloAgri),VoloAgri,ok,2026-08-16,943.0 MB,,s3://phenome-onprem-mysql-backup/axia/2026-08-16/
Gates Ag One,Gates Ag One,ok,2026-08-15,452.7 MB,,s3://phenome-gatesagonetest-mysql-weekly-backup/weekly_backups/2026-08-15/
Gates Ag One - TEST,Gates Ag One,ok,2026-08-15,674.6 MB,,s3://phenome-gatesagone-weekly/weekly_backup/2026-08-15/
Fito,Fito,ok,2026-08-15,3.0 GB,,s3://phenome-fito-mysql-weekly/weekly_backup/2026-08-15/
Solynta,Solynta,ok,2026-08-15,2.0 GB,,s3://phenome-solynta-mysql-weekly/weekly_backup/2026-08-15/
Solynta - TEST,Solynta,ok,2026-08-15,2.0 GB,,s3://phenome-testsolynta-rds-backup/weekly_backups/2026-08-15/
Syngenta,Syngenta,ok,2026-08-15,1.1 GB,,s3://phenome-syngenta-mysql-weekly/weekly_backup/2026-08-15/
S&A Produce UK,S&A Produce,ok,2026-08-15,68.5 MB,,s3://phenome-saproduceuk-rds-backup/rds_weekly_backup/2026-08-15/
BASF - Production,BASF,na,,,Disabled,
BASF - QA (QUAL),BASF,na,,,Disabled,
BASF - DEV,BASF,na,,,Disabled,
BASF - Migration,BASF,na,,,Disabled,
GDM Production,GDM,na,,,Disabled,
Enza Test,Enza Zaden,ok,2026-08-15,10.1 GB,,s3://enza-test-database-backup/rds_weekly_backup/2026-08-15/
Enza Accept,Enza Zaden,ok,2026-08-15,10.1 GB,,s3://enza-accept-database-backup/rds_weekly_backup/2026-08-15/
Enza Production,Enza Zaden,ok,2026-08-16,11.5 GB,,s3://enza-prod-weekly-database-backup/weekly_backup/2026-08-16/
