name,group,status,backupDate,size,notes,path
Production,Phenome Networks,ok,2026-08-29,15.2 GB,,s3://phn-p2g.prod-rds-backup/rds_weekly_backup/2026-08-29/
Sakata,Sakata,ok,2026-08-29,9.0 GB,,s3://phenome-sakata-weekly-backup/rds-weekly-backups/2026-08-29/
Sakata - Test,Sakata,ok,2026-08-29,7.5 GB,,s3://phenome-sakatatest-weekly-backup/rds_weekly_backup/2026-08-29/
Top Seeds,Top Seeds,ok,2026-08-29,1.9 GB,,s3://phenome-topseeds-mysql-backup/rds_weekly_backup/2026-08-29/
Kimberly Clark - EKS,Kimberly Clark,ok,2026-08-29,38.5 MB,,s3://phenome-kimberly-clark-mysql-backup/rds_weekly_backup/2026-08-29/
East West Seeds,East West Seeds,ok,2026-08-29,6.4 GB,,s3://ews-mysql-weekly-backups/weekly_backup/2026-08-29/
Danziger,Danziger,ok,2026-08-29,1.5 GB,,s3://phenome-danziger-mysql-backup/weekly_backup/2026-08-29/
Starke Ayres,Starke Ayres,ok,2026-08-29,1015.1 MB,,s3://phenome-starkeayres-mysql/weekly_backups/2026-08-29/
Gautier,Gautier,ok,2026-08-29,897.7 MB,,s3://phenome-gautier-rds-backup/weekly_backups/2026-08-29/
Mahyco,Mahyco,ok,2026-08-29,2.0 GB,,s3://phenome-mahyco-mysql-backup/rds_weekly_backup/2026-08-29/
Planasa,Planasa,ok,2026-08-29,1.1 GB,,s3://phenome-planasnew-mysql-weekly/weekly_backup/2026-08-29/
Farm Hannong,Farm Hannong,ok,2026-08-29,84.1 MB,,s3://phenome-farm-hannong-mysql-backup/rds_weekly_backup/2026-08-29/
Kaiima,Kaiima,ok,2026-08-29,557.3 MB,,s3://phenome-kaiima-mysql-backup/rds_weekly_backup/2026-08-29/
Kraftheinz,Kraftheinz,ok,2026-08-29,197.1 MB,,s3://phenome-kraftheinz-mysql-weekly-backup/weekly_backups/2026-08-29/
Pepsico,Pepsico,ok,2026-08-29,85.4 MB,,s3://phenome-pepsico-mysql-backup/weekly_backup/2026-08-29/
Origene,Origene,ok,2026-08-29,1.0 GB,,s3://phenome-origene-mysql-backup/rds_weekly_backup/2026-08-29/
British American (BAT),BAT,na,,,Disabled,
East West Seeds Indonesia,East West Seeds,ok,2026-08-29,1.4 GB,,s3://ews-indonesia-mysql-daily-backups/rds_weekly_backup/2026-08-29/
Ramiro,Ramiro,ok,2026-08-29,1.1 GB,,s3://phenome-ramiro-mysql-weekly/weekly_backup/2026-08-29/
McCain,McCain,ok,2026-08-29,766.5 MB,,s3://phenome-mccain-mysql-weekly/rds_weekly_backup/2026-08-29/
Seedworks,Seedworks,ok,2026-08-29,1.3 GB,,s3://phenome-seedworks-mysql-backup/weekly_backups/2026-08-29/
Ball,Ball,ok,2026-08-29,1.4 GB,,s3://phenome-ball-mysql-backup/rds_weekly_backup/2026-08-29/
Axia Seeds (VoloAgri),VoloAgri,ok,2026-08-30,959.5 MB,,s3://phenome-onprem-mysql-backup/axia/2026-08-30/
Gates Ag One,Gates Ag One,ok,2026-08-29,455.1 MB,,s3://phenome-gatesagonetest-mysql-weekly-backup/weekly_backups/2026-08-29/
Gates Ag One - TEST,Gates Ag One,ok,2026-08-29,679.1 MB,,s3://phenome-gatesagone-weekly/weekly_backup/2026-08-29/
Fito,Fito,ok,2026-08-29,3.1 GB,,s3://phenome-fito-mysql-weekly/weekly_backup/2026-08-29/
Solynta,Solynta,ok,2026-08-29,2.1 GB,,s3://phenome-solynta-mysql-weekly/weekly_backup/2026-08-29/
Solynta - TEST,Solynta,ok,2026-08-29,2.0 GB,,s3://phenome-testsolynta-rds-backup/weekly_backups/2026-08-29/
Syngenta,Syngenta,ok,2026-08-29,1.1 GB,,s3://phenome-syngenta-mysql-weekly/weekly_backup/2026-08-29/
S&A Produce UK,S&A Produce,ok,2026-08-29,70.3 MB,,s3://phenome-saproduceuk-rds-backup/rds_weekly_backup/2026-08-29/
BASF - Production,BASF,na,,,Disabled,
BASF - QA (QUAL),BASF,na,,,Disabled,
BASF - DEV,BASF,na,,,Disabled,
BASF - Migration,BASF,na,,,Disabled,
GDM Production,GDM,na,,,Disabled,
Enza Test,Enza Zaden,ok,2026-08-29,10.1 GB,,s3://enza-test-database-backup/rds_weekly_backup/2026-08-29/
Enza Accept,Enza Zaden,ok,2026-08-29,10.1 GB,,s3://enza-accept-database-backup/rds_weekly_backup/2026-08-29/
Enza Production,Enza Zaden,ok,2026-08-30,11.7 GB,,s3://enza-prod-weekly-database-backup/weekly_backup/2026-08-30/
