name,group,status,backupDate,size,notes,path
Production,Phenome Networks,ok,2026-06-06,13.5 GB,,s3://phn-p2g.prod-rds-backup/rds_weekly_backup/2026-06-06/
Sakata,Sakata,ok,2026-06-06,8.5 GB,,s3://phenome-sakata-weekly-backup/rds-weekly-backups/2026-06-06/
Sakata - Test,Sakata,ok,2026-06-06,7.4 GB,,s3://phenome-sakatatest-weekly-backup/rds_weekly_backup/2026-06-06/
Top Seeds,Top Seeds,ok,2026-06-06,1.8 GB,,s3://phenome-topseeds-mysql-backup/rds_weekly_backup/2026-06-06/
Kimberly Clark - EKS,Kimberly Clark,suspect,2026-06-06,835.8 KB,Size 835.8 KB below threshold (20.0 MB),s3://phenome-kimberly-clark-mysql-backup/rds_weekly_backup/2026-06-06/
East West Seeds,East West Seeds,ok,2026-06-06,5.7 GB,,s3://ews-mysql-weekly-backups/weekly_backup/2026-06-06/
Danziger,Danziger,ok,2026-06-06,1.4 GB,,s3://phenome-danziger-mysql-backup/weekly_backup/2026-06-06/
Starke Ayres,Starke Ayres,ok,2026-06-06,952.1 MB,,s3://phenome-starkeayres-mysql/weekly_backups/2026-06-06/
Gautier,Gautier,ok,2026-06-06,640.1 MB,,s3://phenome-gautier-rds-backup/weekly_backups/2026-06-06/
Mahyco,Mahyco,ok,2026-06-06,1.9 GB,,s3://phenome-mahyco-mysql-backup/rds_weekly_backup/2026-06-06/
Planasa,Planasa,ok,2026-06-06,1022.3 MB,,s3://phenome-planasnew-mysql-weekly/weekly_backup/2026-06-06/
Farm Hannong,Farm Hannong,na,,,Disabled,
Kaiima,Kaiima,ok,2026-06-06,538.4 MB,,s3://phenome-kaiima-mysql-backup/rds_weekly_backup/2026-06-06/
Kraftheinz,Kraftheinz,ok,2026-06-06,192.4 MB,,s3://phenome-kraftheinz-mysql-weekly-backup/weekly_backups/2026-06-06/
Pepsico,Pepsico,ok,2026-06-06,74.3 MB,,s3://phenome-pepsico-mysql-backup/weekly_backup/2026-06-06/
Origene,Origene,ok,2026-06-06,998.1 MB,,s3://phenome-origene-mysql-backup/rds_weekly_backup/2026-06-06/
British American (BAT),BAT,na,,,Disabled,
East West Seeds Indonesia,East West Seeds,ok,2026-06-06,1.3 GB,,s3://ews-indonesia-mysql-daily-backups/rds_weekly_backup/2026-06-06/
Ramiro,Ramiro,ok,2026-06-06,1.0 GB,,s3://phenome-ramiro-mysql-weekly/weekly_backup/2026-06-06/
McCain,McCain,ok,2026-06-06,752.0 MB,,s3://phenome-mccain-mysql-weekly/rds_weekly_backup/2026-06-06/
Seedworks,Seedworks,ok,2026-06-06,1.3 GB,,s3://phenome-seedworks-mysql-backup/weekly_backups/2026-06-06/
Ball,Ball,ok,2026-06-06,1.2 GB,,s3://phenome-ball-mysql-backup/rds_weekly_backup/2026-06-06/
Axia Seeds (VoloAgri),VoloAgri,ok,2026-06-07,842.7 MB,,s3://phenome-onprem-mysql-backup/axia/2026-06-07/
Gates Ag One,Gates Ag One,ok,2026-06-06,442.3 MB,,s3://phenome-gatesagonetest-mysql-weekly-backup/weekly_backups/2026-06-06/
Gates Ag One - TEST,Gates Ag One,ok,2026-06-06,655.8 MB,,s3://phenome-gatesagone-weekly/weekly_backup/2026-06-06/
Fito,Fito,ok,2026-06-06,2.7 GB,,s3://phenome-fito-mysql-weekly/weekly_backup/2026-06-06/
Solynta,Solynta,ok,2026-06-06,2.0 GB,,s3://phenome-solynta-mysql-weekly/weekly_backup/2026-06-06/
Solynta - TEST,Solynta,suspect,2026-06-06,20.0 B,Size 20.0 B below threshold (20.0 MB),s3://phenome-testsolynta-rds-backup/weekly_backups/2026-06-06/
Syngenta,Syngenta,ok,2026-06-06,1.1 GB,,s3://phenome-syngenta-mysql-weekly/weekly_backup/2026-06-06/
S&A Produce UK,S&A Produce,ok,2026-06-06,52.3 MB,,s3://phenome-saproduceuk-rds-backup/rds_weekly_backup/2026-06-06/
BASF - Production,BASF,na,,,Disabled,
BASF - QA (QUAL),BASF,na,,,Disabled,
BASF - DEV,BASF,na,,,Disabled,
BASF - Migration,BASF,na,,,Disabled,
GDM Production,GDM,na,,,Disabled,
Enza Test,Enza Zaden,ok,2026-06-06,10.0 GB,,s3://enza-test-database-backup/rds_weekly_backup/2026-06-06/
Enza Accept,Enza Zaden,suspect,2026-05-10,7.3 GB,Latest backup is 28 day(s) old (max allowed: 10),s3://enza-accept-database-backup/rds_weekly_backup/2026-05-10/
Enza Production,Enza Zaden,ok,2026-06-07,10.2 GB,,s3://enza-prod-weekly-database-backup/weekly_backup/2026-06-07/
