name,group,status,backupDate,size,notes,path
Production,Phenome Networks,ok,2026-05-23,13.3 GB,,s3://phn-p2g.prod-rds-backup/rds_weekly_backup/2026-05-23/
Sakata,Sakata,ok,2026-05-23,8.4 GB,,s3://phenome-sakata-weekly-backup/rds-weekly-backups/2026-05-23/
Sakata - Test,Sakata,ok,2026-05-23,7.4 GB,,s3://phenome-sakatatest-weekly-backup/rds_weekly_backup/2026-05-23/
Top Seeds,Top Seeds,ok,2026-05-23,1.8 GB,,s3://phenome-topseeds-mysql-backup/rds_weekly_backup/2026-05-23/
Kimberly Clark - EKS,Kimberly Clark,suspect,2026-05-23,632.7 KB,Size 632.7 KB below threshold (20.0 MB),s3://phenome-kimberly-clark-mysql-backup/rds_weekly_backup/2026-05-23/
East West Seeds,East West Seeds,ok,2026-05-23,5.6 GB,,s3://ews-mysql-weekly-backups/weekly_backup/2026-05-23/
Danziger,Danziger,ok,2026-05-23,1.4 GB,,s3://phenome-danziger-mysql-backup/weekly_backup/2026-05-23/
Starke Ayres,Starke Ayres,ok,2026-05-23,942.4 MB,,s3://phenome-starkeayres-mysql/weekly_backups/2026-05-23/
Gautier,Gautier,ok,2026-05-23,600.3 MB,,s3://phenome-gautier-rds-backup/weekly_backups/2026-05-23/
Mahyco,Mahyco,ok,2026-05-23,1.9 GB,,s3://phenome-mahyco-mysql-backup/rds_weekly_backup/2026-05-23/
Planasa,Planasa,ok,2026-05-23,1009.9 MB,,s3://phenome-planasnew-mysql-weekly/weekly_backup/2026-05-23/
Farm Hannong,Farm Hannong,na,,,Disabled,
Kaiima,Kaiima,ok,2026-05-23,536.2 MB,,s3://phenome-kaiima-mysql-backup/rds_weekly_backup/2026-05-23/
Kraftheinz,Kraftheinz,ok,2026-05-23,192.4 MB,,s3://phenome-kraftheinz-mysql-weekly-backup/weekly_backups/2026-05-23/
Pepsico,Pepsico,ok,2026-05-23,72.7 MB,,s3://phenome-pepsico-mysql-backup/weekly_backup/2026-05-23/
Origene,Origene,ok,2026-05-23,994.0 MB,,s3://phenome-origene-mysql-backup/rds_weekly_backup/2026-05-23/
British American (BAT),BAT,na,,,Disabled,
East West Seeds Indonesia,East West Seeds,ok,2026-05-23,1.3 GB,,s3://ews-indonesia-mysql-daily-backups/rds_weekly_backup/2026-05-23/
Ramiro,Ramiro,ok,2026-05-23,1.0 GB,,s3://phenome-ramiro-mysql-weekly/weekly_backup/2026-05-23/
McCain,McCain,ok,2026-05-23,750.0 MB,,s3://phenome-mccain-mysql-weekly/rds_weekly_backup/2026-05-23/
Seedworks,Seedworks,ok,2026-05-23,1.3 GB,,s3://phenome-seedworks-mysql-backup/weekly_backups/2026-05-23/
Ball,Ball,ok,2026-05-23,1.2 GB,,s3://phenome-ball-mysql-backup/rds_weekly_backup/2026-05-23/
Axia Seeds (VoloAgri),VoloAgri,ok,2026-05-24,823.5 MB,,s3://phenome-onprem-mysql-backup/axia/2026-05-24/
Gates Ag One,Gates Ag One,ok,2026-05-23,440.8 MB,,s3://phenome-gatesagonetest-mysql-weekly-backup/weekly_backups/2026-05-23/
Gates Ag One - TEST,Gates Ag One,ok,2026-05-23,648.9 MB,,s3://phenome-gatesagone-weekly/weekly_backup/2026-05-23/
Fito,Fito,ok,2026-05-23,2.7 GB,,s3://phenome-fito-mysql-weekly/weekly_backup/2026-05-23/
Solynta,Solynta,ok,2026-05-23,2.0 GB,,s3://phenome-solynta-mysql-weekly/weekly_backup/2026-05-23/
Solynta - TEST,Solynta,ok,2026-05-23,1.5 GB,,s3://phenome-testsolynta-rds-backup/weekly_backups/2026-05-23/
Syngenta,Syngenta,ok,2026-05-23,1.1 GB,,s3://phenome-syngenta-mysql-weekly/weekly_backup/2026-05-23/
S&A Produce UK,S&A Produce,ok,2026-05-23,50.0 MB,,s3://phenome-saproduceuk-rds-backup/rds_weekly_backup/2026-05-23/
BASF - Production,BASF,na,,,Disabled,
BASF - QA (QUAL),BASF,na,,,Disabled,
BASF - DEV,BASF,na,,,Disabled,
BASF - Migration,BASF,na,,,Disabled,
GDM Production,GDM,na,,,Disabled,
Enza Test,Enza Zaden,ok,2026-05-23,7.4 GB,,s3://enza-test-database-backup/rds_weekly_backup/2026-05-23/
Enza Accept,Enza Zaden,suspect,2026-05-10,7.3 GB,Latest backup is 14 day(s) old (max allowed: 10),s3://enza-accept-database-backup/rds_weekly_backup/2026-05-10/
Enza Production,Enza Zaden,ok,2026-05-24,9.9 GB,,s3://enza-prod-weekly-database-backup/weekly_backup/2026-05-24/
