name,group,status,backupDate,size,notes,path
Production,Phenome Networks,ok,2026-07-25,14.5 GB,,s3://phn-p2g.prod-rds-backup/rds_weekly_backup/2026-07-25/
Sakata,Sakata,ok,2026-07-25,8.8 GB,,s3://phenome-sakata-weekly-backup/rds-weekly-backups/2026-07-25/
Sakata - Test,Sakata,ok,2026-07-25,7.4 GB,,s3://phenome-sakatatest-weekly-backup/rds_weekly_backup/2026-07-25/
Top Seeds,Top Seeds,ok,2026-07-25,1.8 GB,,s3://phenome-topseeds-mysql-backup/rds_weekly_backup/2026-07-25/
Kimberly Clark - EKS,Kimberly Clark,ok,2026-07-25,14.9 MB,,s3://phenome-kimberly-clark-mysql-backup/rds_weekly_backup/2026-07-25/
East West Seeds,East West Seeds,ok,2026-07-25,6.1 GB,,s3://ews-mysql-weekly-backups/weekly_backup/2026-07-25/
Danziger,Danziger,ok,2026-07-25,1.4 GB,,s3://phenome-danziger-mysql-backup/weekly_backup/2026-07-25/
Starke Ayres,Starke Ayres,ok,2026-07-25,985.9 MB,,s3://phenome-starkeayres-mysql/weekly_backups/2026-07-25/
Gautier,Gautier,ok,2026-07-25,803.3 MB,,s3://phenome-gautier-rds-backup/weekly_backups/2026-07-25/
Mahyco,Mahyco,ok,2026-07-25,2.0 GB,,s3://phenome-mahyco-mysql-backup/rds_weekly_backup/2026-07-25/
Planasa,Planasa,ok,2026-07-25,1.1 GB,,s3://phenome-planasnew-mysql-weekly/weekly_backup/2026-07-25/
Farm Hannong,Farm Hannong,ok,2026-07-25,61.0 MB,,s3://phenome-farm-hannong-mysql-backup/rds_weekly_backup/2026-07-25/
Kaiima,Kaiima,ok,2026-07-25,549.4 MB,,s3://phenome-kaiima-mysql-backup/rds_weekly_backup/2026-07-25/
Kraftheinz,Kraftheinz,ok,2026-07-25,195.5 MB,,s3://phenome-kraftheinz-mysql-weekly-backup/weekly_backups/2026-07-25/
Pepsico,Pepsico,ok,2026-07-25,81.4 MB,,s3://phenome-pepsico-mysql-backup/weekly_backup/2026-07-25/
Origene,Origene,ok,2026-07-25,1019.8 MB,,s3://phenome-origene-mysql-backup/rds_weekly_backup/2026-07-25/
British American (BAT),BAT,na,,,Disabled,
East West Seeds Indonesia,East West Seeds,ok,2026-07-25,1.3 GB,,s3://ews-indonesia-mysql-daily-backups/rds_weekly_backup/2026-07-25/
Ramiro,Ramiro,ok,2026-07-25,1.0 GB,,s3://phenome-ramiro-mysql-weekly/weekly_backup/2026-07-25/
McCain,McCain,ok,2026-07-25,761.2 MB,,s3://phenome-mccain-mysql-weekly/rds_weekly_backup/2026-07-25/
Seedworks,Seedworks,ok,2026-07-25,1.3 GB,,s3://phenome-seedworks-mysql-backup/weekly_backups/2026-07-25/
Ball,Ball,ok,2026-07-25,1.3 GB,,s3://phenome-ball-mysql-backup/rds_weekly_backup/2026-07-25/
Axia Seeds (VoloAgri),VoloAgri,ok,2026-07-29,925.3 MB,,s3://phenome-onprem-mysql-backup/axia/2026-07-29/
Gates Ag One,Gates Ag One,ok,2026-07-25,450.3 MB,,s3://phenome-gatesagonetest-mysql-weekly-backup/weekly_backups/2026-07-25/
Gates Ag One - TEST,Gates Ag One,ok,2026-07-25,669.2 MB,,s3://phenome-gatesagone-weekly/weekly_backup/2026-07-25/
Fito,Fito,ok,2026-07-25,2.9 GB,,s3://phenome-fito-mysql-weekly/weekly_backup/2026-07-25/
Solynta,Solynta,ok,2026-07-25,2.0 GB,,s3://phenome-solynta-mysql-weekly/weekly_backup/2026-07-25/
Solynta - TEST,Solynta,ok,2026-07-25,2.0 GB,,s3://phenome-testsolynta-rds-backup/weekly_backups/2026-07-25/
Syngenta,Syngenta,ok,2026-07-25,1.1 GB,,s3://phenome-syngenta-mysql-weekly/weekly_backup/2026-07-25/
S&A Produce UK,S&A Produce,ok,2026-07-25,66.4 MB,,s3://phenome-saproduceuk-rds-backup/rds_weekly_backup/2026-07-25/
BASF - Production,BASF,na,,,Disabled,
BASF - QA (QUAL),BASF,na,,,Disabled,
BASF - DEV,BASF,na,,,Disabled,
BASF - Migration,BASF,na,,,Disabled,
GDM Production,GDM,na,,,Disabled,
Enza Test,Enza Zaden,ok,2026-07-25,10.1 GB,,s3://enza-test-database-backup/rds_weekly_backup/2026-07-25/
Enza Accept,Enza Zaden,ok,2026-07-25,10.0 GB,,s3://enza-accept-database-backup/rds_weekly_backup/2026-07-25/
Enza Production,Enza Zaden,ok,2026-07-26,11.1 GB,,s3://enza-prod-weekly-database-backup/weekly_backup/2026-07-26/
